what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1380689440746
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380689440747
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1380689440747
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380689440748
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1380689440748
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1380689440749
started,bundle,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.adt",1380689440749
started,bundle,com.android.ide.eclipse.base,22.0.4.v201307151829--741630,"com.android.ide.eclipse.base",1380689440750
os,sysinfo,,,"win32",1380689440754
arch,sysinfo,,,"x86_64",1380689440754
ws,sysinfo,,,"win32",1380689440754
locale,sysinfo,,,"en_SG",1380689440754
processors,sysinfo,,,"4",1380689440754
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380689440754
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1380689440754
java.specification.name,sysinfo,,,"Java Platform API Specification",1380689440754
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380689440754
java.specification.version,sysinfo,,,"1.6",1380689440754
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380689440754
java.version,sysinfo,,,"1.6.0_18",1380689440754
java.vm.info,sysinfo,,,"mixed mode",1380689440754
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1380689440754
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380689440754
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380689440754
java.vm.specification.version,sysinfo,,,"1.0",1380689440754
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380689440754
java.vm.version,sysinfo,,,"16.0-b13",1380689440754
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1380689440998
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1380689441004
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1380689441037
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1380689441810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689442066
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1380689443547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689605972
