what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202261667
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1380202261964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202262562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202269028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202273073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202402165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202465132
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1380202467339
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1380202467949
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1380202468093
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380202468165
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1380202468263
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1380202468338
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1380202469030
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1380202469031
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1380202469170
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380202476098
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380202476198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202500735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202510357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1380202511292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380202511838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202514490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380202543457
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1380202543580
