what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380207286263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207288737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380207313186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207313579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207319887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207320885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207333230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207335132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207343493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207354291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207374429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207381743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207381923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207385364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207386989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207395836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207400193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207404521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207409856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207410067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207410238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380207435069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207435451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207436782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207437437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207493042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380207498409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207500985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207505476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207518316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380207525837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207527966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207528621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207534209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207549470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207553609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207554455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207562196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207567167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207567953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207578207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207589791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207596397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207598786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207599670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207625216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207634750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207638599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207642516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207646653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207647516
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1380207651531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380207657137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207699557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380207700745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207708506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207715126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207715955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380207727093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207729276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207730670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207733493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207738836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207740432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207745282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380207748547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207762338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207787481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207790468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207791523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207792565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207794395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207801570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207803074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207888620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207889655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380207889913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380208102485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380208109476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211749824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211751046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211758919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211859902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211863039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211863972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211867501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211868051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212453411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212454486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212463469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380212472808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212481968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212483510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212553872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212554324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212554806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212566225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212571944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380212600541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212605496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212606080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212606121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212610552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212612019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212616997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212620085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212653333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212655351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212658391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380212660761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380212666979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212667474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212676091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380212691249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212695717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212740967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212741926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212744078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380212760625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212764088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212765114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212771417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212772904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380212775911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380212778030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380212784361
