what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1380689449140
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1380689449299
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1380689449465
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1380689449517
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1380689449545
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1380689452064
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1380689452128
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1380689452628
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1380689452659
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1380689452843
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1380689453342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689453407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689547078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689551365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689551457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689554698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689580713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689604585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380689938887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380690406249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380690514573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380690516542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692102859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692111024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692292481
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380692294816
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380692298957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380692299106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692464187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692708427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692717974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1380692718031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692720282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692721768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380692721928
